Date,Close*,Adj Close**,Volume,
"Oct 14, 2015","1,994.24","1,994.24","3,644,590,000","1,796.00"
"Oct 13, 2015","2,003.69","2,003.69","3,401,920,000","1,797.00"
"Oct 12, 2015","2,017.46","2,017.46","2,893,250,000","1,798.00"
"Oct 09, 2015","2,014.89","2,014.89","3,706,900,000","1,799.00"
"Oct 08, 2015","2,013.43","2,013.43","3,939,140,000","1,800.00"
"Oct 07, 2015","1,995.83","1,995.83","4,666,470,000","1,801.00"
"Oct 06, 2015","1,979.92","1,979.92","4,202,400,000","1,802.00"
"Oct 05, 2015","1,987.05","1,987.05","4,334,490,000","1,803.00"
"Oct 02, 2015","1,951.36","1,951.36","4,378,570,000","1,804.00"
"Oct 01, 2015","1,923.82","1,923.82","3,983,600,000","1,805.00"
"Sep 30, 2015","1,920.03","1,920.03","4,525,070,000","1,806.00"
"Sep 29, 2015","1,884.09","1,884.09","4,132,390,000","1,807.00"
"Sep 28, 2015","1,881.77","1,881.77","4,326,660,000","1,808.00"
"Sep 25, 2015","1,931.34","1,931.34","3,721,870,000","1,809.00"
"Sep 24, 2015","1,932.24","1,932.24","4,091,530,000","1,810.00"
"Sep 23, 2015","1,938.76","1,938.76","3,190,530,000","1,811.00"
"Sep 22, 2015","1,942.74","1,942.74","3,808,260,000","1,812.00"
"Sep 21, 2015","1,966.97","1,966.97","3,269,350,000","1,813.00"
"Sep 18, 2015","1,958.03","1,958.03","6,021,240,000","1,814.00"
"Sep 17, 2015","1,990.20","1,990.20","4,183,790,000","1,815.00"
"Sep 16, 2015","1,995.31","1,995.31","3,630,680,000","1,816.00"
"Sep 15, 2015","1,978.09","1,978.09","3,239,860,000","1,817.00"
"Sep 14, 2015","1,953.03","1,953.03","3,000,200,000","1,818.00"
"Sep 11, 2015","1,961.05","1,961.05","3,218,590,000","1,819.00"
"Sep 10, 2015","1,952.29","1,952.29","3,626,320,000","1,820.00"
